pipeline_run_id,table_name,severity,issue_type,column_name,row_identifier,message,business_impact,recommended_action
d379f6e855cb,models,critical,missing_columns,,,Missing required columns: segment,Cannot reliably build curated analytics and joins; results may be invalid.,Verify the sheet schema matches the business case; update column names or mapping.
d379f6e855cb,interest_rates,medium,missing,buy_rate_apr,,High missingness in column 'buy_rate_apr' (49.5%),Missing 'buy_rate_apr' may bias metrics and segment-level comparisons in 'interest_rates'.,Backfill from source system or adjust analysis to exclude incomplete records.
d379f6e855cb,interest_rates,medium,missing,published_apr,,High missingness in column 'published_apr' (49.5%),Missing 'published_apr' may bias metrics and segment-level comparisons in 'interest_rates'.,Backfill from source system or adjust analysis to exclude incomplete records.
d379f6e855cb,interest_rates,critical,missing,money_factor,,High missingness in column 'money_factor' (50.5%),Missing 'money_factor' may bias metrics and segment-level comparisons in 'interest_rates'.,Backfill from source system or adjust analysis to exclude incomplete records.
d379f6e855cb,interest_rates,critical,missing,residual_pct,,High missingness in column 'residual_pct' (50.5%),Missing 'residual_pct' may bias metrics and segment-level comparisons in 'interest_rates'.,Backfill from source system or adjust analysis to exclude incomplete records.
