model_id,model_name,join_key,xml_output_count,azure_output_count,match_count,xml_not_in_azure,azure_not_in_xml,status_diff,match_rate,status_match_rate,effective_date_match_rate,overall_match_rate
A,Raw event level,issuer+policy_id+member_id+insurance_type+file_event_year_month,40509,12788,12996,27714,1293,74,32.08,99.43,99.79,32.08
B,Latest per policy/member/insurance/month,issuer+policy_id+member_id+insurance_type+file_event_year_month,32956,12699,11424,21532,1275,1,34.66,99.99,99.99,34.66
C,Latest per policy/member/insurance (no month),issuer+policy_id+member_id+insurance_type,25959,12492,11233,14726,1259,97,43.27,99.14,99.96,43.27
D,Active/enrolled current-state only,issuer+policy_id+member_id+insurance_type,17345,4681,3330,14015,1351,0,19.2,100.0,99.94,19.2
E,Exclude maintenance-only/no-op,issuer+policy_id+member_id+insurance_type+file_event_year_month,0,12788,0,0,12788,0,0.0,0.0,0.0,0.0
F,Exclude duplicate same status/effective,issuer+policy_id+member_id+insurance_type+file_event_year_month,33083,12788,11646,21586,1293,63,35.2,99.46,99.89,35.2
G,Collapse CANCEL/TERM into final status,issuer+policy_id+member_id+insurance_type,25959,12492,11233,14726,1259,97,43.27,99.14,99.96,43.27
H,Chandra-like dashboard counts (enrollment/enrollee/subscriber by month/status),issuer+year+month+insurance_type+status,24,20,20,4,0,0,83.33,100.0,46.23,46.23
