comparison_type,join_keys,best_month_basis,xml_raw_rows,azure_raw_rows,xml_snapshot_rows,azure_snapshot_rows,match_count,xml_not_in_azure,azure_not_in_xml,month_basis_diff,status_diff,record_match_rate,status_match_rate,date_exact_match_rate,date_month_match_rate,effective_date_match_rate,benefit_end_match_rate,relationship_valid,azure_snapshot_coverage_rate,raw_event_match_rate,match_rate_join_without_month,match_rate_join_file_event_month,match_rate_join_benefit_effective_month,final_business_match_rate
lifecycle_snapshot_best,issuer+policy_id+member_id+insurance_type+file_event_year_month,join_file_event_month,40509.0,12788.0,32956.0,11424.0,10613,16011,811,6332.0,1,32.2,99.99,99.97,100.0,100.0,100.0,False,92.9,38.74,40.18,32.2,40.2,
latest_state,issuer+policy_id+member_id+insurance_type,,,,,,10431,15528,803,,89,40.18,99.15,98.88,98.9,99.96,99.77,False,92.85,,,,,40.18
